features_id,bedrooms,squareFootage,features,bathrooms,lotSize
29,0.0,1443.0,"{'architectureType': 'Cape Cod', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'foundationType': 'OTHER', 'heating': True, 'heatingType': 'Central', 'roofType': 'Shingle', 'roomCount': 6, 'unitCount': 1}",2.0,6000.0
30,5.0,3654.0,unknown,3.5,21741.0
31,1.0,0.0,unknown,1.0,0.0
32,3.0,2094.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.0,7680.0
33,2.0,1180.0,"{'architectureType': 'Single Story', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 4, 'unitCount': 1}",1.5,8276.0
34,4.0,3044.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",3.0,12676.0
35,3.0,2591.0,unknown,2.5,0.0
36,3.0,1251.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 1, 'foundationType': 'Brick', 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Heat Pump', 'roofType': 'Asphalt', 'roomCount': 4, 'unitCount': 1}",1.0,517928.0
37,2.0,1322.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Carport', 'heating': True, 'roofType': 'Composition Shingle', 'roomCount': 4, 'unitCount': 1}",3.0,5864.0
38,0.0,1512.0,{'architectureType': 'Mobile Home'},0.0,0.0
39,3.0,1107.0,"{'exteriorType': 'Stucco', 'floorCount': 1, 'unitCount': 1}",2.0,7132.0
40,0.0,1704.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Stone', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Footing', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'pool': True, 'roofType': 'Composition Shingle', 'unitCount': 1}",3.0,19600.0
41,0.0,0.0,unknown,0.0,10019.0
42,0.0,0.0,unknown,0.0,0.0
43,3.0,1600.0,unknown,1.0,0.0
44,6.0,2352.0,"{'architectureType': 'Duplex', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt'}",4.0,15943.0
45,0.0,1947.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'floorCount': 1, 'foundationType': 'Footing', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.0,17500.0
46,0.0,997.0,"{'architectureType': 'Cape Cod', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'garage': True, 'garageType': 'Detached', 'unitCount': 1}",0.0,5500.0
47,3.0,1050.0,unknown,2.0,0.0
48,3.0,1134.0,"{'architectureType': 'Conventional', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Floor / Wall', 'roomCount': 7, 'unitCount': 1}",2.0,6433.0
49,2.0,1455.0,"{'architectureType': 'Mobile Home', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Pier / Post & Beam', 'garage': True, 'garageType': 'Carport', 'heating': True, 'roofType': 'Asphalt', 'roomCount': 4, 'unitCount': 1}",2.0,4943.0
50,3.0,1200.0,"{'architectureType': 'Split Level', 'exteriorType': 'Wood Siding', 'fireplace': True, 'floorCount': 3, 'foundationType': 'Crawl / Raised', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 5, 'unitCount': 1}",3.0,9583.0
51,0.0,1120.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached Garage', 'heating': True, 'heatingType': 'Heat Pump', 'roofType': 'Composition Shingle', 'unitCount': 1}",1.0,24072.0
52,3.0,1382.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.0,5480.0
53,4.0,1990.0,"{'architectureType': 'Bi-Level', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 3, 'unitCount': 1}",2.0,10237.0
54,0.0,1595.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'garage': True, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Central'}",1.5,32670.0
55,3.0,1174.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stone', 'floorCount': 1, 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 5, 'unitCount': 1}",1.0,15812.0
56,0.0,1804.0,"{'floorCount': 1, 'pool': True, 'unitCount': 1, 'poolType': 'Pool and Hot Tub / Spa'}",0.0,10019.0
57,2.0,650.0,unknown,1.5,436.0
58,3.0,1991.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}",2.0,13138.0
59,3.0,1173.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}",2.0,9583.0
60,0.0,1512.0,"{'architectureType': 'Duplex', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'unitCount': 2}",0.0,2000.0
