sales_id,lastSalePrice,lastSaleDate
119,89100.0,2018-07-20T00:00:00.000Z
120,139200.0,1999-12-01T00:00:00.000Z
121,,2001-10-02T00:00:00.000Z
122,,2012-12-17T00:00:00.000Z
123,285000.0,2021-09-28T00:00:00.000Z
124,,2018-07-03T00:00:00.000Z
125,91000.0,1996-07-26T00:00:00.000Z
126,,2000-12-19T00:00:00.000Z
127,129900.0,1996-05-02T00:00:00.000Z
128,30000.0,1999-04-09T00:00:00.000Z
129,437500.0,2022-01-24T00:00:00.000Z
130,1249000.0,2021-12-22T00:00:00.000Z
131,245000.0,2007-09-20T00:00:00.000Z
132,179000.0,2022-01-04T00:00:00.000Z
133,193000.0,2018-10-04T00:00:00.000Z
134,1000.0,1967-12-05T00:00:00.000Z
135,,2014-01-17T00:00:00.000Z
136,399500.0,2015-06-04T00:00:00.000Z
137,39000.0,1995-09-29T00:00:00.000Z
138,695000.0,2020-08-31T00:00:00.000Z
139,715000.0,2020-02-21T00:00:00.000Z
140,114900.0,2000-01-04T00:00:00.000Z
141,380000.0,2023-06-26T00:00:00.000Z
142,578000.0,2019-12-23T00:00:00.000Z
143,355500.0,2022-01-14T00:00:00.000Z
144,,2018-05-31T00:00:00.000Z
145,241700.0,2021-10-27T00:00:00.000Z
146,166730.0,2004-03-26T00:00:00.000Z
147,170900.0,2004-06-25T00:00:00.000Z
148,31500.0,1981-03-01T00:00:00.000Z
149,,2023-06-15T00:00:00.000Z
150,58000.0,1982-02-16T00:00:00.000Z
151,284000.0,2021-08-25T00:00:00.000Z
152,256500.0,2024-01-10T00:00:00.000Z
153,,2023-02-27T00:00:00.000Z
154,258000.0,2019-03-13T00:00:00.000Z
155,12000.0,1977-12-12T00:00:00.000Z
156,60000.0,1995-04-19T00:00:00.000Z
157,13250.0,1989-04-01T00:00:00.000Z
158,234000.0,2014-11-25T00:00:00.000Z
159,248000.0,2020-07-07T00:00:00.000Z
160,450000.0,2005-05-10T00:00:00.000Z
161,,2002-06-19T00:00:00.000Z
162,205000.0,2013-01-09T00:00:00.000Z
163,,2001-06-11T00:00:00.000Z
164,185000.0,2015-04-03T00:00:00.000Z
165,,2021-10-06T00:00:00.000Z
166,555000.0,2021-10-04T00:00:00.000Z
167,575000.0,2021-10-08T00:00:00.000Z
168,,1994-01-07T00:00:00.000Z
169,78000.0,2015-03-31T00:00:00.000Z
170,,2004-03-29T00:00:00.000Z
171,362021.0,2023-01-24T00:00:00.000Z
172,,2018-09-04T00:00:00.000Z
173,146500.0,1999-08-10T00:00:00.000Z
174,,2015-04-24T00:00:00.000Z
175,355000.0,2000-05-31T00:00:00.000Z
176,,2023-04-25T00:00:00.000Z
177,18000.0,2019-07-29T00:00:00.000Z
178,160000.0,2020-12-03T00:00:00.000Z
179,,1994-08-05T00:00:00.000Z
180,26500.0,2006-06-30T00:00:00.000Z
181,270000.0,2016-06-08T00:00:00.000Z
182,14000.0,2000-08-15T00:00:00.000Z
183,350000.0,2017-12-22T00:00:00.000Z
184,668500.0,2020-01-13T00:00:00.000Z
185,,2011-06-01T00:00:00.000Z
186,,2015-03-30T00:00:00.000Z
187,80000.0,2015-08-31T00:00:00.000Z
188,,2019-06-10T00:00:00.000Z
189,,2001-05-14T00:00:00.000Z
190,,2016-07-19T00:00:00.000Z
191,535000.0,2006-01-19T00:00:00.000Z
192,2000000.0,2011-09-01T00:00:00.000Z
193,,2005-06-01T00:00:00.000Z
194,60000.0,2011-09-20T00:00:00.000Z
195,105000.0,2016-05-19T00:00:00.000Z
196,32000.0,1996-04-19T00:00:00.000Z
197,140000.0,2011-02-15T00:00:00.000Z
198,1188000.0,1992-11-13T00:00:00.000Z
199,200500.0,1989-10-18T00:00:00.000Z
200,528000.0,2011-04-07T00:00:00.000Z
201,110000.0,1999-08-23T00:00:00.000Z
202,130000.0,1999-07-08T00:00:00.000Z
203,,2022-09-21T00:00:00.000Z
204,189000.0,2016-08-02T00:00:00.000Z
205,,2018-04-18T00:00:00.000Z
206,,2013-05-31T00:00:00.000Z
207,589900.0,2004-08-02T00:00:00.000Z
208,14000.0,1992-02-24T00:00:00.000Z
209,217500.0,2013-09-09T00:00:00.000Z
210,126000.0,2018-12-03T00:00:00.000Z
211,429900.0,2022-12-29T00:00:00.000Z
212,7700.0,2009-12-21T00:00:00.000Z
